entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Luis Tenorio,Fecha de nacimiento,['1975-05-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Tenorio?,['1975-05-23'],['ecuador'],[[]]
Luis Trujillo,Fecha de nacimiento,['1990-12-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Trujillo?,['1990-12-27'],['peru'],[[]]
Luis Valencia Rodríguez,Fecha de nacimiento,['1926-03-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Valencia Rodríguez?,['1926-03-05'],['ecuador'],[[]]
Luis Vallenilla,Fecha de nacimiento,['1974-03-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Vallenilla?,['1974-03-13'],['venezuela'],[[]]
Luis Vargas Peña,Fecha de nacimiento,['1905-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Vargas Peña?,['1905-01-01'],['paraguay'],[[]]
Luis Vera,Fecha de nacimiento,['2009-05-22'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Vera?,['2009-05-22'],['paraguay'],[[]]
Luis Vernet,Fecha de nacimiento,['1791-03-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Vernet?,['1791-03-06'],['argentina'],[[]]
Luis Viracocha,Fecha de nacimiento,['1954-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Viracocha?,['1954-01-01'],['ecuador'],[[]]
Luis Vizcaíno,Fecha de nacimiento,['1974-08-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Vizcaíno?,['1974-08-06'],['republica_dominicana'],[[]]
Luis Zepeda,Fecha de nacimiento,['1993-07-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Zepeda?,['1993-07-16'],['honduras'],[[]]
Luis Zuleta,Fecha de nacimiento,['1974-08-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Zuleta?,['1974-08-07'],['colombia'],[[]]
Luis de Lion,Fecha de nacimiento,['1939-08-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis de Lion?,['1939-08-19'],['guatemala'],[[]]
Luis de la Cruz,Fecha de nacimiento,['1991-03-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis de la Cruz?,['1991-03-23'],['paraguay'],[[]]
Luis de la Fuente y Hoyos,Fecha de nacimiento,['1914-01-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis de la Fuente y Hoyos?,['1914-01-17'],['mexico'],[[]]
Luis de la Paz,Fecha de nacimiento,"['1956-01-01', '1956-08-13']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis de la Paz?,"['1956-01-01', '1956-08-13']","['cuba', 'cuba']","[[], []]"
Luis von Ahn,Fecha de nacimiento,['1978-08-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis von Ahn?,['1978-08-19'],['guatemala'],[[]]
Luis Ángel González Macchi,Fecha de nacimiento,['1947-12-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luis Ángel González Macchi?,['1947-12-13'],['paraguay'],[[]]
Luisa Gómez de la Torre,Fecha de nacimiento,['1887-05-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luisa Gómez de la Torre?,['1887-05-28'],['ecuador'],[[]]
Luisa Huertas,Fecha de nacimiento,['1951-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luisa Huertas?,['1951-01-01'],['el_salvador'],[[]]
Luisa Martínez Casado,Fecha de nacimiento,['1860-08-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luisa Martínez Casado?,['1860-08-28'],['cuba'],[[]]
Luisa María Cuculiza,Fecha de nacimiento,['1942-03-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luisa María Cuculiza?,['1942-03-09'],['peru'],[[]]
Luisa Pérez de Zambrana,Fecha de nacimiento,['1837-08-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luisa Pérez de Zambrana?,['1837-08-25'],['cuba'],[[]]
Luisana Lopilato,Fecha de nacimiento,['1987-05-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luisana Lopilato?,['1987-05-18'],['argentina'],[[]]
Luisita Aguilera Patiño,Fecha de nacimiento,['1914-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luisita Aguilera Patiño?,['1914-01-01'],['panama'],[[]]
Luiyi Lugo,Fecha de nacimiento,['1994-02-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luiyi Lugo?,['1994-02-21'],['republica_dominicana'],[[]]
Lukas Vischer,Fecha de nacimiento,['1780-10-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lukas Vischer?,['1780-10-24'],['mexico'],[[]]
Lupe Fuentes,Fecha de nacimiento,['1987-01-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lupe Fuentes?,['1987-01-27'],['colombia'],[[]]
Lupe Jones,Fecha de nacimiento,['1967-09-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lupe Jones?,['1967-09-06'],['mexico'],[[]]
Lupe Pintor,Fecha de nacimiento,['1955-04-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lupe Pintor?,['1955-04-13'],['mexico'],[[]]
Lupe Vélez,Fecha de nacimiento,"['1906-07-18', '1908-07-18']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lupe Vélez?,"['1906-07-18', '1908-07-18']","['mexico', 'mexico']","[[], []]"
Lupita Ferrer,Fecha de nacimiento,['1947-12-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lupita Ferrer?,['1947-12-06'],['venezuela'],[[]]
Lutgarda González Géigel,Fecha de nacimiento,['1948-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lutgarda González Géigel?,['1948-01-01'],['cuba'],[[]]
Luz Elisa Borja Martínez,Fecha de nacimiento,['1903-05-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luz Elisa Borja Martínez?,['1903-05-15'],['ecuador'],[[]]
Luz Machado,Fecha de nacimiento,['1916-02-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luz Machado?,['1916-02-03'],['venezuela'],[[]]
Luz María Aguilar,Fecha de nacimiento,['1935-03-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luz María Aguilar?,['1935-03-26'],['mexico'],[[]]
Luz Vázquez,Fecha de nacimiento,['1831-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luz Vázquez?,['1831-01-01'],['cuba'],[[]]
Luís Armando Ovelar,Fecha de nacimiento,['1983-06-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Luís Armando Ovelar?,['1983-06-08'],['paraguay'],[[]]
Lydia Cabrera,Fecha de nacimiento,['1899-05-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lydia Cabrera?,['1899-05-20'],['cuba'],[[]]
Lydia Cacho,Fecha de nacimiento,['1963-04-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lydia Cacho?,['1963-04-12'],['mexico'],[[]]
Lydia Kavraki,Fecha de nacimiento,['1967-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lydia Kavraki?,['1967-01-01'],['usa'],[[]]
Lynne Jolitz,Fecha de nacimiento,['1961-06-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lynne Jolitz?,['1961-06-30'],['usa'],[[]]
Lázaro Borges,Fecha de nacimiento,['1986-06-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lázaro Borges?,['1986-06-19'],['cuba'],[[]]
Lázaro Bruzón,Fecha de nacimiento,['1982-05-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lázaro Bruzón?,['1982-05-02'],['cuba'],[[]]
Lázaro Cárdenas,Fecha de nacimiento,['1895-05-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lázaro Cárdenas?,['1895-05-21'],['mexico'],[[]]
Lázaro Morga Lacalle,Fecha de nacimiento,['1913-10-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lázaro Morga Lacalle?,['1913-10-17'],['paraguay'],[[]]
Lázaro Zamora Jo,Fecha de nacimiento,['1959-08-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lázaro Zamora Jo?,['1959-08-05'],['cuba'],[[]]
Lía Victoria Borrero González,Fecha de nacimiento,['1976-08-22'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Lía Victoria Borrero González?,['1976-08-22'],['panama'],[[]]
López Sibrián,Fecha de nacimiento,['1955-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de López Sibrián?,['1955-01-01'],['el_salvador'],[[]]
MENEO,Fecha de nacimiento,['1978-07-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de MENEO?,['1978-07-12'],['guatemala'],[[]]
Mabel Velarde,Fecha de nacimiento,['1988-12-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Mabel Velarde?,['1988-12-04'],['ecuador'],[[]]
Machiel Ramon,Fecha de nacimiento,['1987-06-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Machiel Ramon?,['1987-06-25'],['honduras'],[[]]
Machito,Fecha de nacimiento,['1912-02-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Machito?,['1912-02-16'],['cuba'],[[]]
Madelin Canela,Fecha de nacimiento,['1993-03-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Madelin Canela?,['1993-03-03'],['republica_dominicana'],[[]]
Madelin Riera,Fecha de nacimiento,['1989-08-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Madelin Riera?,['1989-08-07'],['ecuador'],[[]]
Madonna,Fecha de nacimiento,['1958-08-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Madonna?,['1958-08-16'],['usa'],[[]]
Maffio,Fecha de nacimiento,['1986-01-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Maffio?,['1986-01-24'],['republica_dominicana'],[[]]
Magaly Carvajal,Fecha de nacimiento,['1968-12-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Magaly Carvajal?,['1968-12-18'],['cuba'],[[]]
Magaly Quintana,Fecha de nacimiento,['1952-05-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Magaly Quintana?,['1952-05-28'],['nicaragua'],[[]]
Magaly Solier,Fecha de nacimiento,['1986-06-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Magaly Solier?,['1986-06-11'],['peru'],[[]]
Magdalena Matte,Fecha de nacimiento,['1950-08-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Magdalena Matte?,['1950-08-13'],['chile'],[[]]
Magdalena Peñarredonda,Fecha de nacimiento,['1846-07-22'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Magdalena Peñarredonda?,['1846-07-22'],['cuba'],[[]]
Magdelín Martínez,Fecha de nacimiento,['1976-02-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Magdelín Martínez?,['1976-02-10'],['cuba'],[[]]
Magdiel Gutiérrez,Fecha de nacimiento,['1968-04-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Magdiel Gutiérrez?,['1968-04-14'],['nicaragua'],[[]]
Mahmood Sasa,Fecha de nacimiento,['2000-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Mahmood Sasa?,['2000-01-01'],['costa_rica'],[[]]
Maicer Izturis,Fecha de nacimiento,['1980-09-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Maicer Izturis?,['1980-09-12'],['venezuela'],[[]]
Maikel Cleto,Fecha de nacimiento,['1989-05-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Maikel Cleto?,['1989-05-01'],['republica_dominicana'],[[]]
Maikel Franco,Fecha de nacimiento,['1992-08-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Maikel Franco?,['1992-08-26'],['republica_dominicana'],[[]]
Maite Díaz González,Fecha de nacimiento,['1963-07-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Maite Díaz González?,['1963-07-30'],['cuba'],[[]]
Maite Orsini,Fecha de nacimiento,['1988-02-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Maite Orsini?,['1988-02-23'],['chile'],[[]]
Majandra Delfino,Fecha de nacimiento,['1981-02-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Majandra Delfino?,['1981-02-20'],['venezuela'],[[]]
Manco Inca,Fecha de nacimiento,"['1500-01-01', '1515-01-01']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manco Inca?,"['1500-01-01', '1515-01-01']","['peru', 'peru']","[[], []]"
Manfred Max Neef,Fecha de nacimiento,['1932-10-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manfred Max Neef?,['1932-10-26'],['chile'],[[]]
Manfred Oettl Reyes,Fecha de nacimiento,['1993-10-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manfred Oettl Reyes?,['1993-10-23'],['peru'],[[]]
Manlio Argueta,Fecha de nacimiento,['1935-11-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manlio Argueta?,['1935-11-24'],['el_salvador'],[[]]
Manny Acosta,Fecha de nacimiento,['1981-05-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Acosta?,['1981-05-01'],['panama'],[[]]
Manny Albam,Fecha de nacimiento,['1922-06-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Albam?,['1922-06-24'],['republica_dominicana'],[[]]
Manny Correa,Fecha de nacimiento,['1989-01-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Correa?,['1989-01-05'],['republica_dominicana'],[[]]
Manny Diaz,Fecha de nacimiento,['1954-11-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Diaz?,['1954-11-05'],['cuba'],[[]]
Manny Machado,Fecha de nacimiento,['1992-07-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Machado?,['1992-07-06'],['republica_dominicana'],[[]]
Manny Mota,Fecha de nacimiento,['1938-02-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Mota?,['1938-02-18'],['republica_dominicana'],[[]]
Manny Piña,Fecha de nacimiento,['1987-06-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Piña?,['1987-06-05'],['venezuela'],[[]]
Manny Pérez,Fecha de nacimiento,['1969-05-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Pérez?,['1969-05-05'],['republica_dominicana'],[[]]
Manny Ramírez,Fecha de nacimiento,['1972-05-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manny Ramírez?,['1972-05-30'],['republica_dominicana'],[[]]
Manolo Cardona,Fecha de nacimiento,['1977-04-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manolo Cardona?,['1977-04-25'],['colombia'],[[]]
Manolo Cuadra,Fecha de nacimiento,['1907-08-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manolo Cuadra?,['1907-08-09'],['nicaragua'],[[]]
Manrique Quesada,Fecha de nacimiento,['1938-11-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manrique Quesada?,['1938-11-12'],['costa_rica'],[[]]
Manu Ginóbili,Fecha de nacimiento,['1977-07-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manu Ginóbili?,['1977-07-28'],['argentina'],[[]]
Manuel A. Zumbado,Fecha de nacimiento,['1958-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel A. Zumbado?,['1958-01-01'],['costa_rica'],[[]]
Manuel Acisclo Córdoba,Fecha de nacimiento,['1960-02-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Acisclo Córdoba?,['1960-02-10'],['colombia'],[[]]
Manuel Almagro Urrutia,Fecha de nacimiento,['1931-12-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Almagro Urrutia?,['1931-12-19'],['cuba'],[[]]
Manuel Alvarado e Hidalgo,Fecha de nacimiento,['1784-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Alvarado e Hidalgo?,['1784-01-01'],['costa_rica'],[[]]
Manuel Amador Guerrero,Fecha de nacimiento,['1833-06-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Amador Guerrero?,['1833-06-30'],['panama'],[[]]
Manuel Amador Terreros,Fecha de nacimiento,['1869-03-25'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Amador Terreros?,['1869-03-25'],['panama'],[[]]
Manuel Andrada,Fecha de nacimiento,['1927-01-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Andrada?,['1927-01-16'],['paraguay'],[[]]
Manuel Antonio Blas Sáenz,Fecha de nacimiento,['1800-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Antonio Blas Sáenz?,['1800-01-01'],['nicaragua'],[[]]
Manuel Antonio Bonilla Nava,Fecha de nacimiento,['1806-10-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Antonio Bonilla Nava?,['1806-10-15'],['costa_rica'],[[]]
Manuel Antonio Valarezo Luzuriaga,Fecha de nacimiento,['1937-06-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Antonio Valarezo Luzuriaga?,['1937-06-07'],['ecuador'],[[]]
Manuel Antonio de la Cerda,Fecha de nacimiento,['1780-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Antonio de la Cerda?,['1780-01-01'],['nicaragua'],[[]]
Manuel Aranaz Castellanos,Fecha de nacimiento,['1875-01-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Aranaz Castellanos?,['1875-01-06'],['cuba'],[[]]
Manuel Ayau,Fecha de nacimiento,['1925-12-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Ayau?,['1925-12-27'],['guatemala'],[[]]
Manuel Baldizón,Fecha de nacimiento,['1970-05-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Baldizón?,['1970-05-06'],['guatemala'],[[]]
Manuel Baquedano,Fecha de nacimiento,['1823-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Baquedano?,['1823-01-01'],['chile'],[[]]
Manuel Barrios,Fecha de nacimiento,['1974-09-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Barrios?,['1974-09-21'],['panama'],[[]]
Manuel Belgrano,Fecha de nacimiento,['1770-06-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Belgrano?,['1770-06-03'],['argentina'],[[]]
Manuel Bernal,Fecha de nacimiento,['1963-06-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Bernal?,['1963-06-17'],['paraguay'],[[]]
Manuel Bonilla Atencio,Fecha de nacimiento,['1988-04-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Bonilla Atencio?,['1988-04-04'],['panama'],[[]]
Manuel Bonilla,Fecha de nacimiento,['1849-06-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Bonilla?,['1849-06-07'],['honduras'],[[]]
Manuel Bueso Pineda,Fecha de nacimiento,['1893-09-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Bueso Pineda?,['1893-09-01'],['honduras'],[[]]
Manuel Caballero,Fecha de nacimiento,['1931-12-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Caballero?,['1931-12-05'],['venezuela'],[[]]
Manuel Camacho,Fecha de nacimiento,['1929-04-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Camacho?,['1929-04-06'],['mexico'],[[]]
Manuel Campos,Fecha de nacimiento,['1990-01-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Campos?,['1990-01-12'],['panama'],[[]]
Manuel Candamo Iriarte,Fecha de nacimiento,['1841-12-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Candamo Iriarte?,['1841-12-14'],['peru'],[[]]
Manuel Contreras,Fecha de nacimiento,['1929-05-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Contreras?,['1929-05-04'],['chile'],[[]]
Manuel Cótera,Fecha de nacimiento,['1978-12-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Cótera?,['1978-12-13'],['ecuador'],[[]]
Manuel Doño,Fecha de nacimiento,['1989-09-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Doño?,['1989-09-13'],['honduras'],[[]]
Manuel Enrique Araujo,Fecha de nacimiento,['1865-10-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Enrique Araujo?,['1865-10-12'],['el_salvador'],[[]]
Manuel Espinosa Batista,Fecha de nacimiento,['1857-09-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Espinosa Batista?,['1857-09-12'],['panama'],[[]]
Manuel Estrada Cabrera,Fecha de nacimiento,['1859-11-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Estrada Cabrera?,['1859-11-21'],['guatemala'],[[]]
Manuel Estuardo Roldán Barillas,Fecha de nacimiento,['1963-12-31'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Estuardo Roldán Barillas?,['1963-12-31'],['guatemala'],[[]]
Manuel Fernando Zurita,Fecha de nacimiento,['2000-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Fernando Zurita?,['2000-01-01'],['nicaragua'],[[]]
Manuel Fernández Chacón,Fecha de nacimiento,['1786-03-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Fernández Chacón?,['1786-03-26'],['costa_rica'],[[]]
Manuel Fleitas Solich,Fecha de nacimiento,['1900-12-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Fleitas Solich?,['1900-12-30'],['paraguay'],[[]]
Manuel Galbán,Fecha de nacimiento,['1931-01-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Galbán?,['1931-01-14'],['cuba'],[[]]
Manuel Gamboa,Fecha de nacimiento,['1999-02-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Gamboa?,['1999-02-05'],['panama'],[[]]
Manuel García Moia,Fecha de nacimiento,['1936-06-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel García Moia?,['1936-06-13'],['nicaragua'],[[]]
Manuel García de Zúñiga Ozuna,Fecha de nacimiento,['1890-01-31'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel García de Zúñiga Ozuna?,['1890-01-31'],['paraguay'],[[]]
Manuel Granados,Fecha de nacimiento,['1930-08-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Granados?,['1930-08-27'],['cuba'],[[]]
Manuel Gálvez,Fecha de nacimiento,['1882-07-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Gálvez?,['1882-07-18'],['argentina'],[[]]
Manuel Ignacio Carcamo,Fecha de nacimiento,['1771-05-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Ignacio Carcamo?,['1771-05-03'],['el_salvador'],[[]]
Manuel Ignacio de Vivanco,Fecha de nacimiento,['1806-06-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Ignacio de Vivanco?,['1806-06-15'],['peru'],[[]]
Manuel Iturra,Fecha de nacimiento,['1984-06-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Iturra?,['1984-06-23'],['chile'],[[]]
Manuel J. Calle,Fecha de nacimiento,['1866-12-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel J. Calle?,['1866-12-24'],['ecuador'],[[]]
Manuel José Arce y Valladares,Fecha de nacimiento,['1907-02-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel José Arce y Valladares?,['1907-02-21'],['guatemala'],[[]]
Manuel José Gómez Rufino,Fecha de nacimiento,['1820-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel José Gómez Rufino?,['1820-01-01'],['argentina'],[[]]
Manuel José Hurtado,Fecha de nacimiento,['1821-10-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel José Hurtado?,['1821-10-01'],['panama'],[[]]
Manuel José Pérez,Fecha de nacimiento,['1837-12-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel José Pérez?,['1837-12-13'],['panama'],[[]]
Manuel José de Arce y Fagoaga,Fecha de nacimiento,['1787-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel José de Arce y Fagoaga?,['1787-01-01'],['el_salvador'],[[]]
Manuel León,Fecha de nacimiento,['1987-09-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel León?,['1987-09-23'],['guatemala'],[[]]
Manuel Lisandro Barillas Bercián,Fecha de nacimiento,['1845-01-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Lisandro Barillas Bercián?,['1845-01-17'],['guatemala'],[[]]
Manuel M. Ponce,Fecha de nacimiento,['1882-12-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel M. Ponce?,['1882-12-08'],['mexico'],[[]]
Manuel Martínez Sevilla,Fecha de nacimiento,['1941-11-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel Martínez Sevilla?,['1941-11-19'],['nicaragua'],[[]]
Manuel María Ayala,Fecha de nacimiento,['1800-10-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel María Ayala?,['1800-10-13'],['panama'],[[]]
Manuel María Borrero,Fecha de nacimiento,['1883-05-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel María Borrero?,['1883-05-10'],['ecuador'],[[]]
Manuel María Paz,Fecha de nacimiento,['1820-07-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Manuel María Paz?,['1820-07-06'],['colombia'],[[]]
